Tiềnvào(VND),Tiềnra(VND),Sốdư,Chúthích
0,1,406511, 
0,1,406510, 
0,1,406509, 
0,1,406508, 
0,1,406507, 
0,1,406505, 
0,1,406506, 
0,1,406504, 
0,1,406503, 
0,1,406502, 
0,1,406501, 
0,1,406500, 
0,1,406499, 
0,1,406498, 
0,1,406497, 
0,1,406496, 
0,1,406495, 
0,1,406494, 
0,1,406493, 
0,1,406492, 
0,1,406490, 
0,1,406491, 
0,1,406486, 
0,1,406489, 
0,1,406484, 
0,1,406488, 
0,1,406487, 
0,1,406485, 
0,1,406483, 
0,1,406482, 
0,1,406480, 
0,1,406481, 
0,1,406479, 
0,1,406478, 
0,1,406477, 
0,1,406475, 
0,1,406476, 
0,1,406473, 
0,1,406474, 
0,1,406471, 
0,1,406472, 
0,1,406470, 
0,1,406469, 
0,1,406468, 
0,1,406467, 
0,1,406466, 
0,1,406465, 
0,1,406464, 
0,1,406463, 
0,1,406462, 
0,1,406461, 
0,1,406460, 
0,1,406442, 
0,1,406459, 
0,1,406457, 
0,1,406458, 
0,1,406447, 
0,1,406440, 
0,1,406451, 
0,1,406444, 
0,1,406453, 
0,1,406456, 
0,1,406428, 
0,1,406455, 
0,1,406434, 
0,1,406426, 
0,1,406435, 
0,1,406454, 
0,1,406441, 
0,1,406443, 
0,1,406446, 
0,1,406452, 
0,1,406429, 
0,1,406450, 
0,1,406448, 
0,1,406449, 
0,1,406439, 
0,1,406433, 
0,1,406438, 
0,1,406437, 
0,1,406445, 
0,1,406436, 
0,1,406432, 
0,1,406430, 
0,1,406431, 
0,1,406427, 
0,1,406423, 
0,1,406425, 
0,1,406424, 
0,1,406422, 
0,1,406421, 
0,1,406419, 
0,1,406420, 
0,1,406418, 
0,1,406417, 
0,1,406416, 
0,1,406414, 
0,1,406415, 
0,1,406413, 
0,1,406412, 
0,1,406411, 
0,1,406407, 
0,1,406408, 
0,1,406410, 
0,1,406409, 
0,1,406406, 
0,1,406405, 
0,1,406402, 
0,1,406404, 
0,1,406401, 
0,1,406403, 
0,1,406400, 
0,1,406399, 
0,1,406398, 
0,1,406397, 
0,1,406396, 
0,1,406395, 
0,1,406394, 
0,1,406393, 
0,1,406392, 
0,1,406391, 
0,1,406390, 
0,1,406389, 
0,1,406388, 
0,1,406387, 
0,1,406386, 
0,1,406385, 
0,1,406384, 
0,1,406383, 
0,1,406382, 
0,1,406381, 
0,1,406380, 
0,1,406379, 
0,1,406378, 
0,1,406377, 
0,1,406376, 
0,1,406375, 
0,1,406373, 
0,1,406374, 
0,1,406372, 
0,1,406371, 
0,1,406370, 
0,1,406368, 
0,1,406369, 
0,1,406367, 
0,1,406366, 
0,1,406365, 
0,1,406364, 
0,1,406363, 
0,1,406362, 
0,1,406361, 
0,1,406360, 
0,1,406359, 
0,1,406358, 
0,1,406356, 
0,1,406357, 
0,1,406355, 
0,1,406354, 
0,1,406352, 
0,1,406353, 
0,1,406351, 
0,1,406350, 
0,1,406349, 
0,1,406348, 
0,1,406347, 
0,1,406346, 
0,1,406345, 
0,1,406344, 
0,1,406342, 
0,1,406343, 
0,1,406341, 
0,1,406340, 
0,1,406338, 
0,1,406339, 
0,1,406336, 
0,1,406337, 
0,1,406335, 
0,1,406334, 
0,1,406333, 
0,1,406332, 
0,1,406331, 
0,1,406330, 
0,1,406329, 
0,1,406328, 
0,1,406327, 
0,1,406326, 
0,1,406325, 
0,1,406324, 
0,1,406323, 
0,1,406322, 
0,1,406321, 
0,1,406320, 
0,1,406319, 
0,1,406316, 
0,1,406318, 
0,1,406317, 
0,1,406315, 
0,1,406314, 
0,1,406313, 
0,1,406311, 
0,1,406312, 
0,1,406310, 
0,1,406309, 
0,1,406308, 
0,1,406307, 
0,1,406306, 
0,1,406304, 
0,1,406303, 
0,1,406302, 
0,1,406305, 
0,1,406295, 
0,1,406300, 
0,1,406296, 
0,1,406301, 
0,1,406297, 
0,1,406298, 
0,1,406294, 
0,1,406299, 
0,1,406293, 
0,1,406292, 
0,1,406291, 
0,1,406290, 
0,1,406289, 
0,1,406287, 
0,1,406288, 
0,1,406286, 
0,1,406285, 
0,1,406284, 
0,1,406278, 
0,1,406283, 
0,1,406282, 
0,1,406280, 
0,1,406281, 
0,1,406277, 
0,1,406279, 
0,1,406276, 
0,1,406275, 
0,1,406274, 
0,1,406273, 
0,1,406272, 
0,1,406271, 
0,1,406270, 
0,1,406269, 
0,1,406267, 
0,1,406268, 
0,1,406266, 
0,1,406265, 
0,1,406264, 
0,1,406263, 
0,1,406262, 
0,1,406259, 
0,1,406261, 
0,1,406260, 
0,1,406258, 
0,1,406257, 
0,1,406256, 
0,1,406255, 
0,1,406254, 
0,1,406252, 
0,1,406253, 
0,1,406251, 
0,1,406249, 
0,1,406250, 
0,1,406248, 
0,1,406247, 
0,1,406246, 
0,1,406245, 
0,1,406244, 
0,1,406243, 
0,1,406242, 
0,1,406241, 
0,1,406240, 
0,1,406239, 
0,1,406238, 
0,1,406237, 
0,1,406236, 
0,1,406235, 
0,1,406234, 
0,1,406233, 
0,1,406232, 
0,1,406231, 
0,1,406230, 
0,1,406229, 
0,1,406228, 
0,1,406227, 
0,1,406226, 
0,1,406225, 
0,1,406224, 
0,1,406222, 
0,1,406223, 
0,1,406221, 
0,1,406220, 
0,1,406219, 
0,1,406216, 
0,1,406218, 
0,1,406217, 
0,1,406215, 
0,1,406214, 
0,1,406213, 
0,1,406212, 
0,1,406211, 
0,1,406210, 
0,1,406209, 
0,1,406208, 
0,1,406207, 
0,1,406206, 
0,1,406205, 
0,1,406203, 
0,1,406204, 
0,1,406202, 
0,1,406201, 
0,1,406200, 
0,1,406199, 
0,1,406198, 
0,1,406197, 
0,1,406196, 
0,1,406195, 
0,1,406194, 
0,1,406193, 
0,1,406192, 
0,1,406191, 
0,1,406190, 
0,1,406189, 
0,1,406188, 
0,1,406187, 
0,1,406186, 
0,1,406184, 
0,1,406183, 
0,1,406185, 
0,1,406181, 
0,1,406180, 
0,1,406182, 
0,1,406174, 
0,1,406178, 
0,1,406177, 
0,1,406179, 
0,1,406175, 
0,1,406173, 
0,1,406176, 
0,1,406171, 
0,1,406172, 
0,1,406170, 
0,1,406169, 
0,1,406165, 
0,1,406167, 
0,1,406168, 
0,1,406166, 
0,1,406160, 
0,1,406164, 
0,1,406157, 
0,1,406161, 
0,1,406162, 
0,1,406156, 
0,1,406163, 
0,1,406158, 
0,1,406159, 
0,1,406155, 
0,1,406154, 
0,1,406153, 
0,1,406151, 
0,1,406152, 
0,1,406148, 
0,1,406150, 
0,1,406149, 
0,1,406130, 
0,1,406147, 
0,1,406132, 
0,1,406145, 
0,1,406146, 
0,1,406143, 
0,1,406144, 
0,1,406142, 
0,1,406141, 
0,1,406139, 
0,1,406140, 
0,1,406137, 
0,1,406136, 
0,1,406125, 
0,1,406128, 
0,1,406138, 
0,1,406133, 
0,1,406135, 
0,1,406134, 
0,1,406126, 
0,1,406127, 
0,1,406131, 
0,1,406129, 
0,1,406124, 
0,1,406123, 
0,1,406122, 
0,1,406121, 
0,1,406120, 
0,1,406119, 
0,1,406118, 
0,1,406117, 
0,1,406116, 
0,1,406115, 
0,1,406114, 
0,1,406113, 
0,1,406112, 
0,1,406111, 
0,1,406110, 
0,1,406109, 
0,1,406108, 
0,1,406107, 
0,1,406106, 
0,1,406105, 
0,1,406104, 
0,1,406103, 
0,1,406102, 
0,1,406101, 
0,1,406096, 
0,1,406097, 
0,1,406094, 
0,1,406099, 
0,1,406100, 
0,1,406098, 
0,1,406095, 
0,1,406093, 
0,1,406092, 
0,1,406091, 
0,1,406090, 
0,1,406088, 
0,1,406089, 
0,1,406087, 
0,1,406086, 
0,1,406085, 
0,1,406082, 
0,1,406084, 
0,1,406083, 
0,1,406081, 
0,1,406079, 
0,1,406080, 
0,1,406078, 
0,1,406076, 
0,1,406077, 
0,1,406075, 
0,1,406074, 
0,1,406073, 
0,1,406072, 
0,1,406071, 
0,1,406070, 
0,1,406069, 
0,1,406068, 
0,1,406067, 
0,1,406066, 
0,1,406065, 
0,1,406064, 
0,1,406063, 
0,1,406062, 
0,1,406061, 
0,1,406060, 
0,1,406059, 
0,1,406058, 
0,1,406056, 
0,1,406057, 
0,1,406054, 
0,1,406055, 
0,1,406053, 
0,1,406052, 
0,1,406051, 
0,1,406050, 
0,1,406048, 
0,1,406049, 
0,1,406047, 
0,1,406046, 
0,1,406045, 
0,1,406044, 
0,1,406043, 
0,1,406042, 
0,1,406041, 
0,1,406040, 
0,1,406039, 
0,1,406038, 
0,1,406018, 
0,1,406036, 
0,1,406031, 
0,1,406029, 
0,1,406037, 
0,1,406022, 
0,1,406032, 
0,1,406035, 
0,1,406033, 
0,1,406025, 
0,1,406034, 
0,1,406028, 
0,1,406030, 
0,1,406023, 
0,1,406020, 
0,1,406017, 
0,1,406027, 
0,1,406024, 
0,1,406026, 
0,1,406021, 
0,1,406019, 
0,1,406016, 
0,1,406015, 
0,1,406014, 
0,1,406013, 
0,1,406012, 
0,1,406011, 
0,1,406010, 
0,1,406009, 
0,1,406008, 
0,1,406006, 
0,1,406007, 
0,1,406002, 
0,1,406003, 
0,1,406005, 
0,1,405998, 
0,1,406004, 
0,1,406000, 
0,1,405999, 
0,1,406001, 
0,1,405997, 
0,1,405996, 
0,1,405995, 
0,1,405994, 
0,1,405993, 
0,1,405992, 
0,1,405991, 
0,1,405990, 
0,1,405989, 
0,1,405988, 
0,1,405987, 
0,1,405986, 
0,1,405985, 
0,1,405984, 
0,1,405983, 
0,1,405982, 
0,1,405981, 
0,1,405980, 
0,1,405979, 
0,1,405978, 
0,1,405977, 
0,1,405976, 
0,1,405974, 
0,1,405975, 
0,1,405973, 
0,1,405972, 
0,1,405971, 
0,1,405970, 
0,1,405969, 
0,1,405968, 
0,1,405967, 
0,1,405966, 
0,1,405964, 
0,1,405965, 
0,1,405963, 
0,1,405962, 
0,1,405961, 
0,1,405960, 
0,1,405959, 
0,1,405958, 
0,1,405957, 
0,1,405956, 
0,1,405955, 
0,1,405954, 
0,1,405953, 
0,1,405952, 
0,1,405951, 
0,1,405950, 
0,1,405949, 
0,1,405948, 
0,1,405947, 
0,1,405946, 
0,1,405945, 
0,1,405944, 
0,1,405943, 
0,1,405942, 
0,1,405941, 
0,1,405940, 
0,1,405939, 
0,1,405938, 
0,1,405937, 
0,1,405936, 
0,1,405935, 
0,1,405934, 
0,1,405933, 
0,1,405932, 
0,1,405931, 
0,1,405930, 
0,1,405929, 
0,1,405928, 
0,1,405927, 
0,1,405925, 
0,1,405926, 
0,1,405924, 
0,1,405923, 
0,1,405922, 
0,1,405919, 
0,1,405918, 
0,1,405921, 
0,1,405920, 
0,1,405916, 
0,1,405917, 
0,1,405914, 
0,1,405915, 
0,1,405913, 
0,1,405912, 
0,1,405911, 
0,1,405910, 
0,1,405909, 
0,1,405908, 
0,1,405907, 
0,1,405906, 
0,1,405901, 
0,1,405905, 
0,1,405904, 
0,1,405903, 
0,1,405902, 
0,1,405900, 
0,1,405899, 
0,1,405896, 
0,1,405898, 
0,1,405897, 
0,1,405895, 
0,1,405894, 
0,1,405893, 
0,1,405892, 
0,1,405891, 
0,1,405890, 
0,1,405888, 
0,1,405889, 
0,1,405887, 
0,1,405885, 
0,1,405886, 
0,1,405884, 
0,1,405883, 
0,1,405882, 
0,1,405881, 
0,1,405878, 
0,1,405880, 
0,1,405879, 
0,1,405877, 
0,1,405874, 
0,1,405876, 
0,1,405870, 
0,1,405875, 
0,1,405872, 
0,1,405873, 
0,1,405871, 
0,1,405869, 
0,1,405868, 
0,1,405867, 
0,1,405866, 
0,1,405865, 
0,1,405864, 
0,1,405863, 
0,1,405862, 
0,1,405861, 
0,1,405860, 
0,1,405859, 
0,1,405858, 
0,1,405857, 
0,1,405856, 
0,1,405855, 
0,1,405854, 
0,1,405853, 
0,1,405852, 
0,1,405851, 
0,1,405850, 
0,1,405849, 
0,1,405848, 
0,1,405847, 
0,1,405846, 
0,1,405845, 
0,1,405844, 
0,1,405843, 
0,1,405842, 
0,1,405841, 
0,1,405840, 
0,1,405838, 
0,1,405839, 
0,1,405836, 
0,1,405837, 
0,1,405834, 
0,1,405835, 
0,1,405827, 
0,1,405833, 
0,1,405832, 
0,1,405829, 
0,1,405831, 
0,1,405830, 
0,1,405828, 
0,1,405826, 
0,1,405825, 
0,1,405824, 
0,1,405823, 
0,1,405822, 
0,1,405821, 
0,1,405820, 
0,1,405819, 
0,1,405818, 
0,1,405817, 
0,1,405816, 
0,1,405815, 
0,1,405814, 
0,1,405813, 
0,1,405812, 
0,1,405811, 
0,1,405810, 
0,1,405807, 
0,1,405809, 
0,1,405804, 
0,1,405808, 
0,1,405802, 
0,1,405800, 
0,1,405805, 
0,1,405806, 
0,1,405803, 
0,1,405801, 
0,1,405799, 
0,1,405798, 
0,1,405797, 
0,1,405796, 
0,1,405794, 
0,1,405795, 
0,1,405793, 
0,1,405792, 
0,1,405791, 
0,1,405790, 
0,1,405789, 
0,1,405788, 
0,1,405787, 
0,1,405786, 
0,1,405785, 
0,1,405784, 
0,1,405783, 
0,1,405782, 
0,1,405781, 
0,1,405780, 
0,1,405779, 
0,1,405778, 
0,1,405777, 
0,1,405776, 
0,1,405774, 
0,1,405775, 
0,1,405773, 
0,1,405772, 
0,1,405771, 
0,1,405770, 
0,1,405769, 
0,1,405768, 
0,1,405767, 
0,1,405766, 
0,1,405765, 
0,1,405764, 
0,1,405763, 
0,1,405762, 
0,1,405761, 
0,1,405760, 
0,1,405759, 
0,1,405758, 
0,1,405757, 
0,1,405756, 
0,1,405755, 
0,1,405754, 
0,1,405753, 
0,1,405752, 
0,1,405751, 
0,1,405750, 
0,1,405749, 
0,1,405748, 
0,1,405747, 
0,1,405746, 
0,1,405745, 
0,1,405744, 
0,1,405743, 
0,1,405742, 
0,1,405741, 
0,1,405740, 
0,1,405739, 
0,1,405738, 
0,1,405737, 
0,1,405736, 
0,1,405735, 
0,1,405734, 
0,1,405733, 
0,1,405732, 
0,1,405730, 
0,1,405731, 
0,1,405729, 
0,1,405728, 
0,1,405727, 
0,1,405726, 
0,1,405725, 
0,1,405724, 
0,1,405723, 
0,1,405722, 
0,1,405721, 
0,1,405720, 
0,1,405719, 
0,1,405718, 
0,1,405717, 
0,1,405716, 
0,1,405715, 
0,1,405714, 
0,1,405713, 
0,1,405712, 
0,1,405711, 
0,1,405710, 
0,1,405709, 
0,1,405708, 
0,1,405706, 
0,1,405707, 
0,1,405705, 
0,1,405704, 
0,1,405703, 
0,1,405701, 
0,1,405702, 
0,1,405700, 
0,1,405699, 
0,1,405698, 
0,1,405697, 
0,1,405696, 
0,1,405695, 
0,1,405694, 
0,1,405693, 
0,1,405692, 
0,1,405691, 
0,1,405690, 
0,1,405689, 
0,1,405688, 
0,1,405687, 
0,1,405686, 
0,1,405685, 
0,1,405684, 
0,1,405683, 
0,1,405682, 
0,1,405681, 
0,1,405680, 
0,1,405679, 
0,1,405678, 
0,1,405677, 
0,1,405676, 
0,1,405675, 
0,1,405674, 
0,1,405671, 
0,1,405672, 
0,1,405673, 
0,1,405670, 
0,1,405665, 
0,1,405643, 
0,1,405669, 
0,1,405640, 
0,1,405664, 
0,1,405668, 
0,1,405638, 
0,1,405628, 
0,1,405666, 
0,1,405651, 
0,1,405667, 
0,1,405648, 
0,1,405656, 
0,1,405660, 
0,1,405647, 
0,1,405662, 
0,1,405629, 
0,1,405650, 
0,1,405649, 
0,1,405645, 
0,1,405663, 
0,1,405657, 
0,1,405637, 
0,1,405635, 
0,1,405642, 
0,1,405636, 
0,1,405625, 
0,1,405633, 
0,1,405661, 
0,1,405627, 
0,1,405644, 
0,1,405655, 
0,1,405658, 
0,1,405631, 
0,1,405632, 
0,1,405654, 
0,1,405659, 
0,1,405641, 
0,1,405646, 
0,1,405652, 
0,1,405630, 
0,1,405653, 
0,1,405634, 
0,1,405639, 
0,1,405624, 
0,1,405626, 
0,1,405623, 
0,1,405622, 
0,1,405621, 
0,1,405620, 
0,1,405619, 
0,1,405618, 
0,1,405616, 
0,1,405615, 
0,1,405617, 
0,1,405614, 
0,1,405613, 
0,1,405588, 
0,1,405610, 
0,1,405601, 
0,1,405612, 
0,1,405558, 
0,1,405587, 
0,1,405611, 
0,1,405608, 
0,1,405605, 
0,1,405606, 
0,1,405493, 
0,1,405609, 
0,1,405607, 
0,1,405569, 
0,1,405600, 
0,1,405602, 
0,1,405598, 
0,1,405603, 
0,1,405604, 
0,1,405599, 
0,1,405576, 
0,1,405585, 
0,1,405596, 
0,1,405597, 
0,1,405595, 
0,1,405583, 
0,1,405574, 
0,1,405594, 
0,1,405593, 
0,1,405592, 
0,1,405584, 
0,1,405590, 
0,1,405591, 
0,1,405589, 
0,1,405586, 
0,1,405489, 
0,1,405570, 
0,1,405582, 
0,1,405581, 
0,1,405579, 
0,1,405577, 
0,1,405580, 
0,1,405578, 
0,1,405573, 
0,1,405575, 
0,1,405494, 
0,1,405571, 
0,1,405572, 
0,1,405568, 
0,1,405541, 
0,1,405567, 
0,1,405566, 
